dfia,dfia_dt,dfia_exp,exporter, balance_cif , sugar_total , sugar_new , sugar_old , sugar_debited_quantity , sugar_bal , juice_total , juice_new , juice_old , juice_debited_quantity , juice_bal , tartaric_total , tartaric_new , tartaric_old , tartaric_debited_quantity , tartaric_bal , essential_total , essential_new , essential_old , essential_debited_quantity , essential_bal , oci_total , oci_new , oci_old , oci_debited_quantity , oci_bal , pp_total , pp_new , pp_old , pp_debited_quantity , pp_bal 
310833303,09/12/19,31/12/20,RAMA EXPORTS," 98,323.00 "," 5,36,627.52 ", 168.52 ," 5,36,459.00 "," 5,36,627.00 ", 0.52 ," 1,34,114.48 ", 0.48 ," 1,34,114.00 "," 1,34,114.00 ", 0.48 ," 26,831.37 ", 9.37 ," 26,822.00 "," 13,055.00 "," 13,776.37 "," 4,471.89 ", 1.89 ," 4,470.00 "," 4,470.00 ", 1.89 ," 44,704.96 ", 0.96 ," 44,704.00 "," 44,700.00 ", 4.96 ," 52,692.12 "," 52,692.12 ", -   ," 52,692.00 ", 0.12 
310833305,09/12/19,31/12/20,RAMA EXPORTS," 1,19,897.00 "," 4,32,102.78 ", 168.78 ," 4,31,934.00 "," 4,32,102.00 ", 0.78 ," 1,07,983.69 ", 0.69 ," 1,07,983.00 "," 1,07,983.00 ", 0.69 ," 21,605.14 ", 9.14 ," 21,596.00 ", -   ," 21,605.14 "," 3,600.85 ", 1.85 ," 3,599.00 "," 3,599.00 ", 1.85 ," 35,994.97 ", 0.97 ," 35,994.00 "," 35,990.00 ", 4.97 ," 45,003.26 "," 45,003.26 ", -   ," 45,003.00 ", 0.26 
310833321,10/12/19,31/12/20,RAMA EXPORTS," 1,94,136.00 "," 5,71,407.15 ", 168.15 ," 5,71,239.00 "," 5,71,407.00 ", 0.15 ," 1,42,809.79 ", 0.79 ," 1,42,809.00 "," 1,42,809.00 ", 0.79 ," 28,570.36 ", 9.36 ," 28,561.00 ", -   ," 28,570.36 "," 4,761.73 ", 1.73 ," 4,760.00 "," 4,759.00 ", 2.73 ," 47,603.26 ", 0.26 ," 47,603.00 "," 47,600.00 ", 3.26 ," 44,590.02 "," 44,590.02 ", -   ," 44,590.00 ", 0.01 
310833996,08/01/20,31/01/21,PARLE PRODUCTS PVT. ," 19,78,824.00 "," 17,45,557.46 "," 12,30,948.46 "," 5,14,609.00 ", -   ," 17,45,557.46 "," 4,36,389.37 "," 3,07,737.37 "," 1,28,652.00 "," 1,28,652.00 "," 3,07,737.37 "," 87,277.69 "," 61,547.69 "," 25,730.00 ", -   ," 87,277.69 "," 14,546.30 "," 10,258.30 "," 4,288.00 "," 4,288.00 "," 10,258.30 "," 1,45,463.11 "," 1,02,579.11 "," 42,884.00 "," 42,880.00 "," 1,02,583.11 "," 3,83,574.04 "," 2,85,519.04 "," 98,055.00 "," 3,83,574.00 ", 0.04 
310834153,15/01/20,31/01/21,V A GLOBAL BUSINESS," 4,29,483.00 "," 7,44,478.21 "," 1,02,375.21 "," 6,42,103.00 ", -   ," 7,44,478.21 "," 1,86,119.55 "," 25,594.55 "," 1,60,525.00 "," 1,11,649.00 "," 74,470.55 "," 37,223.91 "," 5,118.91 "," 32,105.00 ", -   ," 37,223.91 "," 6,203.98 ", 853.98 ," 5,350.00 "," 5,350.00 ", 853.98 ," 62,039.85 "," 8,516.85 "," 53,523.00 "," 53,520.00 "," 8,519.85 "," 1,98,960.00 "," 11,117.00 "," 1,87,843.00 "," 1,98,960.00 ", -   
310834151,15/01/20,31/01/21,VIPUL KUMAR TRADING ," 49,305.00 "," 2,76,007.20 ", -   ," 2,76,007.20 "," 2,76,007.00 ", 0.20 ," 69,001.80 ", -   ," 69,001.80 "," 55,650.00 "," 13,351.80 "," 13,800.36 ", 0.00 ," 13,800.36 ", -   ," 13,800.36 "," 2,300.06 ", -   ," 2,300.06 "," 2,300.00 ", 0.06 ," 23,000.60 ", -   ," 23,000.60 "," 22,998.00 ", 2.60 ," 17,025.75 ", 0.75 ," 17,025.00 "," 17,025.00 ", 0.75 
310834746,10/02/20,28/02/21,VIHANG FOOD Industri," 2,54,887.00 "," 8,04,753.78 "," 1,02,867.78 "," 7,01,886.00 "," 17,000.00 "," 7,87,753.78 "," 2,01,188.45 "," 25,717.45 "," 1,75,471.00 "," 1,75,471.00 "," 25,717.45 "," 40,237.69 "," 5,143.69 "," 35,094.00 ", -   ," 40,237.69 "," 6,706.28 ", 857.28 ," 5,849.00 "," 5,135.00 "," 1,571.28 "," 67,062.82 "," 8,572.82 "," 58,490.00 "," 58,490.00 "," 8,572.82 "," 86,737.35 "," 11,745.35 "," 74,992.00 "," 92,290.00 ", -   
310835522,19/03/20,31/03/21,KRISH FOOD INDUSTRY ," 83,25,895.00 "," 96,87,159.00 ", -   ," 96,87,159.00 ", -   ," 96,87,159.00 ",,,,,," 4,84,358.00 "," 2,63,574.00 "," 2,20,784.00 ", -   ," 4,84,358.00 "," 80,726.32 "," 43,929.32 "," 36,797.00 ", -   ," 80,726.32 "," 8,07,263.30 "," 4,39,289.80 "," 3,67,973.50 "," 3,42,957.00 "," 4,64,306.30 "," 6,62,292.80 "," 3,31,146.80 "," 3,31,146.00 ", -   ," 6,62,292.80 "
310837138,10/07/20,31/07/21,NILONS ENTERPRISES P," 7,07,825.00 "," 6,78,165.00 "," 1,81,872.00 "," 4,96,293.00 "," 7,800.00 "," 6,70,365.00 ", -   , -   , -   , -   , -   ," 33,908.25 "," 9,094.25 "," 24,814.00 ", -   ," 33,908.25 "," 3,843.50 "," 3,843.50 ", -   , -   ," 3,843.50 "," 56,513.75 "," 15,156.00 "," 41,357.75 "," 41,356.00 "," 15,157.75 ", -   , -   , -   , -   , -   
,,,," 1,49,84,648.00 ",,,,," 1,36,73,118.30 ",,,,," 12,34,504.99 ",,,,," 10,46,372.34 ",,,,," 1,20,834.67 ",,,,," 8,70,778.24 ",,,,," 7,30,217.95 "
