DFIA,DFIA DT,DFIA EXP,Notf No,Exporter, TOTAL CIF , BAL CIF , SUGAR QTY , HSN SU , ESSENTIAL OIL QTY , HSN E , VAL 5% , VAL 5% Utilized , VAL 5% Balance , Other Qty , Other , VAL 2% , VAL 2% Utilized , VAL 2% Balance , PP QTY , HSN PP , Paper & Paper Board , HSN PAP , Is Individual 
'0310839062,22/10/20,31/10/21,019/2015,RAMA EXPORTS," 2,03,599.95 "," 1,88,263.00 "," 1,42,281.00 ", '17019990 ," 1,185.00 ", '33021010 ," 10,179.00 ", -   ," 10,179.00 "," 9,861.00 ", '08023100 ," 4,071.00 "," 4,049.00 ", 22.00 , -   , '39021000 ," 6,284.00 ", '48101990 , FALSE 
'0310838966,19/10/20,31/10/21,019/2015,RANI INTERNATIO," 1,54,802.46 "," 1,40,433.00 "," 1,18,864.00 ", '17019990 , 990.00 , '33021010 ," 7,740.00 ", -   ," 7,740.00 "," 8,390.00 ", '08023100 ," 3,096.00 "," 3,074.00 ", 22.00 , -   , '39012000 ," 17,116.00 ", '48101990 , FALSE 
'0310839116,26/10/20,31/10/21,019/2015,RANI INTERNATIO," 2,05,848.40 "," 1,53,115.00 "," 1,42,507.00 ", '17019990 ," 1,252.00 ", '33021010 ," 10,292.00 ", -   ," 10,292.00 "," 10,508.00 ", '08023100 ," 4,116.00 "," 4,093.00 ", 23.00 , -   , '39021000 ," 21,668.00 ", '48101990 , FALSE 
'0310839069,22/10/20,31/10/21,019/2015,RAMA EXPORTS," 1,43,538.58 "," 1,43,539.00 "," 97,572.00 ", '17019990 , 813.00 , '33021010 ," 7,176.00 ", -   ," 7,176.00 ", -   , '15119020 ," 2,870.00 ", -   ," 2,870.00 ", -   , '39021000 , -   , '48101990 , TRUE 
'0310839460,10/11/20,30/11/21,019/2015,RANI INTERNATIO," 66,162.94 "," 66,163.00 "," 44,616.00 ", '17019990 , 891.00 , '33011200 ," 3,308.00 ", -   ," 3,308.00 "," 3,717.00 ", '08020000 ," 1,323.00 ", -   ," 1,323.00 "," 3,717.00 ", '39012000 ," 6,423.00 ", '48101990 , FALSE 
'0310837441,28/07/20,31/07/21,019/2015,RANI INTERNATIO," 2,49,207.11 "," 2,49,207.00 "," 1,80,084.00 ", '17019990 ," 1,500.00 ", '33011200 ," 12,460.00 ", -   ," 12,460.00 "," 15,007.00 ", '08023100 ," 4,984.00 ", -   ," 4,984.00 "," 15,007.00 ", '39021000 ," 7,953.00 ", '48101990 , TRUE 
'0310835562,20/03/20,31/03/21,019/2015,RANI INTERNATIO," 1,26,582.83 "," 1,19,765.00 "," 99,189.00 ", '17019990 , 826.00 , '33012590 ," 6,329.00 ", -   ," 6,329.00 "," 24,435.00 ", '15119020 ," 2,531.00 ", -   ," 2,531.00 ", -   , '39021000 ," 13,140.00 ", '48101990 , FALSE 
'0310835559,20/03/20,31/03/21,019/2015,RANI INTERNATIO," 31,039.38 "," 28,037.00 "," 26,652.00 ", '17019990 , 222.00 , '33012590 ," 1,551.00 ", -   ," 1,551.00 "," 2,221.00 ", '15119010 , 620.00 , -   , 620.00 , -   , '39021000 ," 1,178.00 ", '48101990 , FALSE 
'0310839625,19/11/20,30/11/21,019/2015,RANI INTERNATIO," 6,51,246.20 "," 5,92,568.00 "," 4,91,061.00 ", '17019990 ," 9,819.00 ", '33021010 ," 32,562.00 ", -   ," 32,562.00 "," 34,527.00 ", '08020000 ," 13,024.00 "," 12,976.00 ", 48.00 , 842.00 , '39012000 ," 70,712.00 ", '48101990 , FALSE 
'0310835561,20/03/20,31/03/21,019/2015,RAMA EXPORTS," 1,21,335.63 "," 1,21,336.00 "," 96,460.00 ", '17019990 ,,," 6,066.00 ", -   ," 6,066.00 "," 8,038.00 ", '15119010 ," 2,426.00 ", -   ," 2,426.00 "," 7,981.00 ", '39021000 ," 4,283.00 ", '48101990 , FALSE 
'0310837555,07/08/20,31/08/21,019/2015,SAGAR FOOD PROD," 37,417.21 "," 32,858.00 "," 31,712.00 ", '17019990 , 264.00 , '33021010 ," 1,870.00 ", -   ," 1,870.00 "," 2,642.00 ", '08022200 , 748.00 , -   , 748.00 , -   , '39020000 ,,, FALSE 
'0310839542,13/11/20,30/11/21,019/2015,RANI INTERNATIO," 1,73,187.95 "," 1,33,103.00 ", 1.00 , '17019990 ," 1,012.00 ", '33021010 ," 8,659.00 ", -   ," 8,659.00 "," 10,122.00 ", '15119020 ," 3,463.00 ", -   ," 3,463.00 "," 10,122.00 ", '39021000 ," 17,490.00 ", '48101990 , FALSE 
'0310839541,13/11/20,30/11/21,019/2015,RAMA EXPORTS," 2,22,676.03 "," 1,71,897.00 ", -   , '17019990 ," 1,282.00 ", '33021010 ," 11,133.00 ", -   ," 11,133.00 "," 12,822.00 ", '08020000 ," 4,453.00 ", -   ," 4,453.00 "," 12,822.00 ", '39021000 ," 22,156.00 ", '48101990 , FALSE 
,,,,," 84,52,851.99 "," 75,10,723.00 "," 58,07,665.00 ", -   ," 51,270.00 ", -   ," 4,22,625.00 "," 27,778.00 "," 3,94,847.00 "," 4,34,636.00 ", -   ," 1,69,038.00 "," 1,30,199.00 "," 38,839.00 "," 50,491.00 ", -   ," 2,95,851.00 ", -   , -   
