Sr No,DFIA,DFIA DT,DFIA EXP,DFIA File No,Exporter, BAL CIF , AU & CIF Restriction , Juice , OCI , Milk , Flavour , Fruit Flavour ,Conversion
38,0310831630,19/09/19,30/09/20,03/90/076/00022/AM19,VIVA FOOD PRODU," 5,86,331.00 ",, -   , 3.00 ,," 2,325.00 ",,YES
39,0310828052,01/04/19,01/10/20,03/91/076/00042/AM18,RAMA EXPORTS," 1,22,238.00 ", Yes ," 25,024.00 "," 8,341.00 ",, 166.00 ,,
40,0310832464,25/10/19,25/10/20,03/91/076/00103/AM20,RANI INTERNATIO," (10,528.00)", Yes , -   , 42.00 , -   , 778.00 ,,YES
41,0310832148,11/10/19,31/10/20,03/83/076/00023/AM18,CONTINENTAL EXP," 85,183.00 ",," 18,901.00 ",,, 126.00 ," 6,300.00 ",
42,0310832398,23/10/19,31/10/20,03/91/076/000105/AM20,RANI INTERNATIO," 1,36,339.00 ", Yes , -   , 126.00 ," 98,847.00 ", 258.00 ,,YES
43,0310832430,24/10/19,31/10/20,03/91/076/000190/AM20,RANI INTERNATIO," 1,85,022.00 ", Yes , -   , 3.00 ," 95,550.00 ", 5.00 ,,YES
44,0310832432,24/10/19,31/10/20,03/91/076/00107/AM20,RANI INTERNATIO," 98,689.00 ", Yes , -   , 84.00 ," 90,027.00 ", 900.00 ,,YES
45,0310832433,24/10/19,31/10/20,03/91/076/00108/AM20,RANI INTERNATIO," 1,30,059.00 ", Yes , -   , 42.00 ," 28,500.00 ", -   ,,YES
46,0310832769,14/11/19,30/11/20,03/90/076/00017/AM18,VANILA FOOD PRO," 2,57,315.00 ", Yes ," 69,100.00 ",,, 460.00 ," 23,033.00 ",
47,0310830434,19/07/19,18/01/21,03/91/076/00008/AM19,RANI INTERNATIO," 95,315.00 ", Yes ,," 8,428.00 ",,,,
48,01310049493,02/01/20,31/01/21,13/21/076/00011/AM19,EURO EXPORTS PR," 1,45,468.00 ",," 33,949.00 "," 11,316.00 ",, 226.00 ,,
49,0310834611,03/02/20,28/02/21,03/88/076/00020/AM20,SHIVAM EXPORTS," 98,089.00 ",," 20,171.00 "," 6,723.00 ",, 134.00 ,,
50,0310834613,03/02/20,28/02/21,03-/88/076/00027/AM20,SHIVAM EXPORTS," 2,04,469.00 ",," 39,349.00 "," 13,116.00 ",, 262.00 ,,
51,0310834614,03/02/20,28/02/21,03/88/076/00042/AM20,SHIVAM EXPORTS," 2,10,969.00 ",," 42,098.00 "," 14,032.00 ",, 280.00 ,,
52,0310835198,04/03/20,31/03/21,03/88/076/00086/AM20,SHIVAM EXPORTS," 1,35,924.00 ", No ," 30,694.00 "," 10,231.00 ",, 204.00 ,,
53,0310835311,09/03/20,31/03/21,03/90/076/00001/AM20,VIHANG FOOD Ind," 1,83,575.00 ",," 38,733.00 "," 12,911.00 ",, 258.00 ,,
54,0310838205,10/09/20,30/09/21,03/90/076/00024/AM18,VANILA FOOD PRO," 3,29,615.00 ",," 70,455.00 "," 23,485.00 ",, 469.00 ,,
55,0310838869,14/10/20,31/10/21,03/90/076/00039/AM20,VANILA FOOD PRO," 2,66,292.00 ",," 53,059.00 "," 17,686.00 ",, 353.00 ,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
