today,sr_no,license,license_date,file_number,exporter,hs_code,item,quantity,v_allotment_usd,v_allotment_inr,company,company_address,mill_name,mill_address
09/01/20,1,0310832594,05/11/19,03/82/076/00002/AM19,INTERCON ASSOCIATES,17019990,cane sugar,"77,497.00","25,574.01","18,45,164.82",Faith Mercantile Pvt Ltd,"Corporate Office: 1607, Ambadeep Building 14, Kasturba Gandhi Marg, Connaught Place, New Delhi - 110001",Majhaulia Sugar Industries Pvt. Ltd. ,"Majhaulia - Jagdishpur Rd, Majhaulia, Bihar 845454"
09/01/20,1,0310833141,02/12/19,03/88/076/00083/AM19,SATNAM MART PVT LTD,17019990,cane sugar,"31,096.00","10,261.68","7,40,380.21",Faith Mercantile Pvt Ltd,"Corporate Office: 1607, Ambadeep Building 14, Kasturba Gandhi Marg, Connaught Place, New Delhi - 110001",Majhaulia Sugar Industries Pvt. Ltd. ,"Majhaulia - Jagdishpur Rd, Majhaulia, Bihar 845454"
09/01/20,1,0310833047,27/11/19,03/88/076/00095/AM19,SATNAM MART PVT LTD,17019990,cane sugar,"10,500.00","3,465.00","2,49,999.75",Faith Mercantile Pvt Ltd,"Corporate Office: 1607, Ambadeep Building 14, Kasturba Gandhi Marg, Connaught Place, New Delhi - 110001",Majhaulia Sugar Industries Pvt. Ltd. ,"Majhaulia - Jagdishpur Rd, Majhaulia, Bihar 845454"
09/01/20,1,2410042763,24/05/19,24/21/076/00030/AM19,GUJRAT TRADING CO,17019990,cane sugar,"37,575.00","12,399.75","8,94,641.96",Faith Mercantile Pvt Ltd,"Corporate Office: 1607, Ambadeep Building 14, Kasturba Gandhi Marg, Connaught Place, New Delhi - 110001",Majhaulia Sugar Industries Pvt. Ltd. ,"Majhaulia - Jagdishpur Rd, Majhaulia, Bihar 845454"
09/01/20,1,2410042934,26/11/19,24/21/076/00029/AM20,GUJRAT TRADING CO,17019990,cane sugar,"84,024.00","27,727.92","20,00,569.43",Faith Mercantile Pvt Ltd,"Corporate Office: 1607, Ambadeep Building 14, Kasturba Gandhi Marg, Connaught Place, New Delhi - 110001",Majhaulia Sugar Industries Pvt. Ltd. ,"Majhaulia - Jagdishpur Rd, Majhaulia, Bihar 845454"
