sr_no,license_number,license_date,license_expiry,exporter,value_balance,hs_code,import_item,quantity_balance,port
sr_no,license_number,license_date,license_expiry,exporter,value_balance,hs_code,import_item,quantity_balance,port
7,310662205,25/10/2011,22/09/2019,RANI INTERNATIONAL,143471,11000000,wheat flour,91680,INNSA1
,03/91/076/00087/AM12,,,,,17000000,sugar,35005,
,,,,,,8130000,vegetable shortening fats / rbd palm oil,30004,
,,,,,,8130000,milk & milk products (skimmed milk powder),1666,
,,,,,,17000000,liquid glucose,6667,
,,,,,,29000000,leaving agent/ dough conditioner,2500,
,,,,,,38000000,emulsifier,833,
,,,,,,33000000,relevant food flavour,333,
,,,,,,48000000,packing material (ldpe/hdpe/pp),0,
,,,,,,,,,
sr_no,license_number,license_date,license_expiry,exporter,value_balance,hs_code,import_item,quantity_balance,port
8,310776854,03/04/2014,02/10/2019,PARLE PRODUCTS PVT.  LIMITED,4193,11000000,wheat flour,250692,INNSA1
,03/92/076/00227/AM14,,,,,17000000,cane sugar,2214179,
,,,,,,15119020,vegetable shortening fats / rbd palm oil,2643,
,,,,,,4000000,leaving agent/ dough conditioner,6414,
,,,,,,4000000,emulsifier/ stabilizer/ glazing agent/ binders/ thickners,11653,
,,,,,,8020000,relevant food flavour vanillin,7,
,,,,,,35000000,starch,0,
,,,,,,21000000,relevant food colour sunset yellow,1165,
,,,,,,8000000,anti oxidant (citric acid),1165,
,,,,,,8000000,coco powder,0,
,,,,,,8020000,dietary fibre,32,
,,,,,,4041020,milk & milk products (skimmed milk powder),2,
,,,,,,48000000,packing material (ldpe/hdpe/pp),1150376,
,,,,,,,,,
sr_no,license_number,license_date,license_expiry,exporter,value_balance,hs_code,import_item,quantity_balance,port
9,310681621,13/02/2012,24/10/2019,VIPUL KUMAR TRADING CO.,162596,11090000,wheat flour,132971,INNSA1
,03/90/076/00059/AM12,,,,,17019990,cane sugar,137452,
,,,,,,15119020,vegetable shortening fats / rbd palm oil,0,
,,,,,,21021020,leaving agent/ dough conditioner,2893,
,,,,,,38249090,emulsifier/ stabilizer/ glazing agent/ binders/ thickners,723,
,,,,,,9083110,relevant (food flour / flavouring agent/ flavour imp-rovers),11574,
,,,,,,11080000,starch,3617,
,,,,,,21000000,relevant food colour,72,
,,,,,,29000000,anti oxidant,72,
,,,,,,8023100,fruit / coco powder,6510,
