DFIA,DFIA DT,DFIA EXP,DFIA File No,Exporter,BAL CIF,SUGAR,SUGAR QTY,PALM OIL,PALM QTY,WHEY,WHEY QTY,Skimmed,Skimmed QTY,DF,DF QTY,FF,FF QTY,VAL 10%
'0310833197,2019-12-04,2020-12-31,03/91/076/00091/AM20,RAMA EXPORTS,0.0,17010000,0,15119020,0,35020000,0,,,08023100,0,08020000,0,73237.0
'0310833198,2019-12-04,2020-12-31,03/91/076/00092/AM20,RAMA EXPORTS,0.0,17010000,0,15119020,0,04041020,0,,,08023100,1.0,08020000,0,51828.0
'0310833199,2019-12-04,2020-12-31,03/91/076/00116/AM20,RAMA EXPORTS,1362.0,17010000,0,15119020,0,35020000,0,,,08023100,5.0,08020000,8.0,27328.0
'0310833589,2019-12-20,2020-12-31,03/89/076/00026/AM19,STRAINA INTERNA,53864.0,17011490,0,15119020,0,04041020,0,,,13022000,26.0,29124200,7.0,8832.0
'0310833591,2019-12-20,2020-12-31,03/89/076/00029/AM19,STRAINA INTERNA,248800.0,17011490,0,15119020,0,04041020,1236.0,,,13022000,768.0,29124200,13670.0,54629.0
'0310833846,2020-01-02,2021-01-31,03/92/076/00016/AM19,PARLE PRODUCTS ,1424927.0,17024000,849095.0,15119020,384.0,35022000,0,,,08023100,1.0,08023100,811.0,502138.0
'0310834150,2020-01-15,2021-01-31,03/09/076/00029/AM13,VIPUL KUMAR TRA,241.0,17010000,0,15119020,5849.0,04041020,17292.0,,,08023100,3.0,08023100,2.0,78687.0
'0310834152,2020-01-15,2021-01-31,03/90/076/00002/AM14,V A GLOBAL BUSI,3987.0,17019990,0,15119020,0,04041020,109.0,,,08023100,2.0,08023100,2.0,73052.0
'0310834927,2020-02-18,2021-02-28,03/91/076/00027/AM19,RANI INTERNATIO,15090.0,17019990,0,15119020,3893.0,35022000,865.0,,,,,29124100,346.0,1608.0
'0310835121,2020-02-28,2021-02-28,03/83/076/00001/AM20,JAYKAL EXPORTS ,6429.0,17019990,12312.0,15119020,0,35022000,0,,,08022200,1944.0,,,4684.0
'0310835514,2020-03-19,2021-03-31,03/91/076/00057/AM19,RANI INTERNATIO,10628.0,17019990,6357.0,15119020,0,04041010,1003.0,04021010,1673.0,23023000,1003.0,29124200,535.0,2232.0
'0310837961,,,,,,,,,,,,,,,,,,
'5610005397,,,,,,,,,,,,,,,,,,
'0710107013,,,,,,,,,,,,,,,,,,
'0710107920,,,,,,,,,,,,,,,,,,
'0810131337,,,,,,,,,,,,,,,,,,
'0810135270,,,,,,,,,,,,,,,,,,
'0810135271,,,,,,,,,,,,,,,,,,
'0910067444,,,,,,,,,,,,,,,,,,
'3010102919,,,,,,,,,,,,,,,,,,
